FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,vaccine_doses_administered_in_state,white_pop,black_pop,asian_pop,hisp_pop,Population,pop per sq mi,democrat_votes,republican_votes,democrat_percent,republican_percent,confirmed_cases,ICU Beds,percent_smokers,percent_adults_with_obesity,high_school_graduation_rate,percent_unemployed_CHR,percent_severe_housing_problems,life_expectancy,median_household_income,percent_homeowners,percent_less_than_18_years_of_age,percent_65_and_over,percent_not_proficient_in_english,percent_rural,per_capita_income,percent_disabled,percent_institutionalized_in_group_quarters,POVERTY_PERCENT
1035,Conecuh,Alabama,US,31.43401703,-86.99320044,"Conecuh, Alabama, US",4630089,6245,5048,22,277,12067,15.6,2966,3442,46.04875019,53.438907,1841,0,21.10751297,43,80.37383178,5.229194482,13.35952849,75.25023311,32613,76.60690861,20.77054655,22.49735277,0,80.94950106,16004,21.4,0.4,22.2
1037,Coosa,Alabama,US,32.93690146,-86.24847739,"Coosa, Alabama, US",4630089,7118,3212,12,280,10663,17.7,1796,3631,32.77970433,66.27121738,1753,0,20.39996562,40.3,82.71604938,4.18190128,14.6254459,73.81951325,42423,81.98878869,16.58422772,23.15445637,0.361457243,100,18080,22.3,3.1,17.1
1039,Covington,Alabama,US,31.2477854,-86.45050893,"Covington, Alabama, US",4630089,31311,4276,180,687,37049,36.6,2721,14586,15.61101549,83.68330465,6624,13,19.24945154,31.7,94.90291262,4.578344112,12.8458498,73.99450382,40203,74.0271855,21.87043746,21.06202347,0.366383595,69.65179399,21738,21.1,1.6,17.2
1041,Crenshaw,Alabama,US,31.72941803,-86.31593104,"Crenshaw, Alabama, US",4630089,9939,3018,160,333,13772,22.8,1700,4864,25.69140094,73.50763186,2420,0,18.64692957,38,89.08045977,4.080660527,9.953917051,74.65904212,39057,73.81094527,22.8587963,19.01765046,1.162257226,100,20455,19.5,1.1,16.8
1043,Cullman,Alabama,US,34.13020303,-86.86888037,"Cullman, Alabama, US",4630089,80188,1270,448,3752,83768,109.4,4478,36880,10.6998638,88.12214762,15162,12,17.90107122,36.9,90.51987768,3.280465239,12.30694981,74.53974581,45796,74.58184185,22.47908727,18.51106158,0.578012259,73.23955924,21041,15.7,1.4,12.2
1045,Dale,Alabama,US,31.43037123,-85.61095742,"Dale, Alabama, US",4630089,36273,9580,502,3450,49172,89.6,5170,14303,26.19313,72.4642821,8821,6,20.05739493,37.2,90.31620553,4.204771372,13.62064379,75.05295351,45309,60.1981789,22.97369066,16.89271999,1.001651312,50.88853953,22834,21,2.4,18.1
1047,Dallas,Alabama,US,32.32688101,-87.1086671,"Dallas, Alabama, US",4630089,10259,23880,182,429,37196,44.8,12230,5524,68.4617107,30.92252575,4807,18,24.08899101,43.1,86.19329389,6.547779273,20.99378882,71.18507134,34035,59.78819785,23.80840512,18.06577917,0.111844908,45.63897764,17611,18,1.5,26
1049,DeKalb,Alabama,US,34.45946862,-85.80782906,"DeKalb, Alabama, US",4630089,66303,1376,398,10774,71513,91.5,4281,24767,14.58304946,84.36776128,12464,12,21.02827079,29.2,92.74292743,3.816920575,11.08424023,74.45845024,39491,71.19240778,24.07788751,17.26132941,3.505653557,90.1306445,18685,15.4,1.3,18.2
1051,Elmore,Alabama,US,32.59785413,-86.14415284,"Elmore, Alabama, US",4630089,61461,16690,540,2563,81209,128.2,10367,30164,25.26687789,73.51693883,14844,5,17.45250185,34.3,86.1572536,3.447534596,11.37071651,75.91196924,60367,73.70552105,22.23918327,15.14281876,0.665568283,54.18836614,24771,17.4,5.7,11.4
1053,Escambia,Alabama,US,31.1256789,-87.15918694,"Escambia, Alabama, US",4630089,22815,11948,106,952,36633,40.5,4918,10869,30.91137649,68.31552483,6682,14,22.41258458,39.4,87.79220779,4.570791527,11.82120429,72.90735933,38418,68.78909741,22.36584304,17.94927615,0.488553088,63.51157389,17420,20.2,6.6,20.5
1055,Etowah,Alabama,US,34.04567266,-86.04051873,"Etowah, Alabama, US",4630089,82501,15084,824,4230,102268,195.2,11567,35528,24.23524975,74.43848475,19670,56,20.1473986,35.5,90.27205276,4.102468907,11.22216599,73.03473169,44903,71.90344792,21.46027844,19.01152184,1.218784098,37.48348176,21287,19.8,1.4,18.8
1057,Fayette,Alabama,US,33.72076938,-87.73886638,"Fayette, Alabama, US",4630089,13980,1854,38,335,16302,27.5,1395,7300,15.9137577,83.27629478,2862,12,18.00159326,41,91.80327869,4.119099044,12.33576642,74.58653626,39254,77.90413128,21.12821761,21.12821761,0,80.23316513,20201,27.5,1.9,17
1059,Franklin,Alabama,US,34.44235334,-87.84289505,"Franklin, Alabama, US",4630089,28757,1552,110,5606,31362,50,2086,10376,16.58451264,82.49324217,5906,7,19.25058304,34.3,92.10526316,3.731605999,12.95425396,74.64628269,39388,70.56199822,24.53528043,16.88613972,5.133267522,70.36651527,18193,19,0.9,16.1
1061,Geneva,Alabama,US,31.09389027,-85.83572839,"Geneva, Alabama, US",4630089,22895,2362,88,1095,26271,46.6,1595,10848,12.71422878,86.47269829,4547,6,20.00360328,38.7,90.28776978,3.925905447,10.18301267,73.79484144,37823,70.80828323,21.91989055,20.29718021,0.582927414,89.64165734,20189,22,0.9,16.1
1063,Greene,Alabama,US,32.85504247,-87.95684022,"Greene, Alabama, US",4630089,1500,6066,22,139,8111,14,3884,875,81.34031414,18.32460733,1241,0,24.63281871,35.5,77.52808989,6.730091614,19.3236715,74.79660472,28524,68.73096447,22.16688935,22.31264424,0,100,13679,26.2,0.7,31.7
1065,Hale,Alabama,US,32.76039258,-87.63284988,"Hale, Alabama, US",4630089,5963,7818,38,209,14651,24.5,4663,3192,59.02531646,40.40506329,2961,0,22.07729134,40.4,91.28205128,5.090969788,16.55462185,74.11701861,34724,71.47401909,23.04767079,19.21091946,0.07185973,89.16878173,19296,21.3,1.6,20.5
1067,Henry,Alabama,US,31.51148016,-85.24267944,"Henry, Alabama, US",4630089,12315,4194,66,463,17205,30.8,2606,6607,28.0275328,71.05829211,3085,0,18.42984544,36.3,97.90575916,4.433934378,10.68814056,76.23234938,46027,82.80101964,20.61130804,22.72066942,0.314989809,87.75286094,22825,19.7,1.6,17.2
1069,Houston,Alabama,US,31.15197924,-85.29939599,"Houston, Alabama, US",4630089,72872,26870,954,3631,105882,175.1,12917,32618,27.97522362,70.64301648,17178,66,19.24978279,38.1,90.91743119,4.042081949,13.45103518,75.86663695,47993,65.57715334,23.03240962,17.79855236,0.592784557,33.80405133,24086,17.7,0.9,19.4
1071,Jackson,Alabama,US,34.78144169,-85.99750489,"Jackson, Alabama, US",4630089,47173,1786,264,1584,51626,49.4,3717,19670,15.72601117,83.22051108,9673,10,19.95892088,38.7,90.11725293,4.109117508,10.80471296,73.80725219,41929,74.09095317,20.88680996,20.04986856,0.444210057,77.01730325,20487,17.7,1.3,14.7
1073,Jefferson,Alabama,US,33.55554728,-86.895063,"Jefferson, Alabama, US",4630089,349516,261100,11198,26873,658573,592.5,181688,138843,55.75851317,42.60974442,113597,471,17.62204526,34.6,88.73381114,3.711617953,16.76248687,74.67116264,55013,62.79912925,22.762172,15.85727287,1.229600473,9.833765145,28162,15,2.4,16.2
1075,Lamar,Alabama,US,33.77995024,-88.09668032,"Lamar, Alabama, US",4630089,12083,1346,14,263,13805,24.1,978,6174,13.5965522,85.83344919,2112,0,20.430552,35.7,94.28571429,3.810522636,10.64891847,74.3449866,40936,76.44794108,21.38832707,21.65559087,0.030225178,100,20206,23.2,1.4,15.3
1077,Lauderdale,Alabama,US,34.90171875,-87.65624729,"Lauderdale, Alabama, US",4630089,80633,8546,718,2652,92729,138.8,11915,31721,26.87250502,71.54198336,13938,48,16.6560043,32.5,94.38528558,4.190693149,12.59124088,76.16952605,48707,68.48418757,19.6651044,20.09265373,0.57371171,49.29510619,24893,15.6,2.3,15.7
1079,Lawrence,Alabama,US,34.52041498,-87.31069453,"Lawrence, Alabama, US",4630089,25757,3372,66,779,32924,49.7,3562,12322,22.21944982,76.86357682,4219,6,20.18764616,32.6,88.05555556,4.18851929,10.62312312,73.81540359,43909,79.0960893,21.58873684,18.66371332,0.197981862,91.28978712,21911,20.5,0.7,17.7
1081,Lee,Alabama,US,32.60154883,-85.35132246,"Lee, Alabama, US",4630089,116411,34826,7228,6091,164542,230.8,27860,42221,38.99284805,59.09249955,23005,28,17.56014041,29.9,91.14302813,3.620703512,19.23143351,78.22598028,48937,60.3321375,21.28387652,11.88293349,1.173793508,27.40949896,24951,12.2,3.7,15.5
1083,Limestone,Alabama,US,34.81185586,-86.98310072,"Limestone, Alabama, US",4630089,80121,14236,1432,6149,98915,147.8,13672,34640,27.76886361,70.35645374,15066,10,18.17335659,33.9,92.00743494,3.545396646,11.30163679,77.70135529,64863,78.01780489,22.55911161,15.18913636,0.952988193,57.60914208,26086,15.1,3.3,12
1085,Lowndes,Alabama,US,32.1597283,-86.65158371,"Lowndes, Alabama, US",4630089,2527,6468,48,181,9726,15.8,4972,1836,72.74323336,26.86174104,1723,0,22.61591119,46.9,91.30434783,7.310344828,19.45754717,71.15970302,33973,73.66028708,22.6188089,18.84900742,0.062486982,100,18434,23.3,0.9,26.6
1087,Macon,Alabama,US,32.38759944,-85.69267724,"Macon, Alabama, US",4630089,3130,12884,142,343,18068,35.2,7108,1541,81.48572739,17.66594062,2277,0,21.4146964,49.6,80,5.463152508,19.89892609,73.16182193,32495,65.74571167,16.90981073,20.36986821,0,55.54726832,18385,17.3,11.5,29.3
1089,Madison,Alabama,US,34.76327133,-86.55069633,"Madison, Alabama, US",4630089,256828,86406,9064,19352,372909,417.7,87286,102780,44.81560018,52.77074658,51509,100,16.8201727,32.9,93.19437469,3.460323112,11.94355127,77.40538974,63755,67.22613868,21.81769567,15.04014799,1.117454509,16.44151477,33264,12.8,2.4,11.5
1091,Marengo,Alabama,US,32.24767634,-87.78796182,"Marengo, Alabama, US",4630089,8793,8806,50,528,18863,21.5,5488,5343,50.34862385,49.01834862,3311,5,21.35600035,42.2,90.90909091,5.007247332,18.09815951,73.18504344,37733,71.22811535,22.73680898,19.60033568,0.053853196,69.31564179,20359,23.7,1.1,24.8
1093,Marion,Alabama,US,34.13697363,-87.88704173,"Marion, Alabama, US",4630089,27939,1328,82,800,29709,41.5,1463,12205,10.59607445,88.39718983,4912,4,19.06020361,36.8,90.2173913,4.087975138,11.13336003,74.46923681,37887,75.36030134,20.77411551,21.23777845,0.510096391,88.85495191,20998,24.8,2,16.9
1095,Marshall,Alabama,US,34.36975964,-86.30486727,"Marshall, Alabama, US",4630089,89814,3532,574,14272,96774,164.4,5943,33191,14.98676081,83.69940739,18165,20,21.01785348,34.4,92.28934817,3.382787924,13.92919327,74.35386014,46233,70.36623109,24.90505572,17.0379465,4.005236488,53.26868704,21767,16.8,1.1,15.7
1097,Mobile,Alabama,US,30.78472347,-88.20842409,"Mobile, Alabama, US",4630089,243845,137002,7986,12443,413210,335.9,79474,101243,43.38953069,55.27450809,71773,157,19.36996915,36.3,83.70992038,4.694620236,16.61804745,75.0935599,43598,64.8908112,23.37386437,16.20298871,0.737186928,20.02024252,23318,15.2,2.5,17.7
1099,Monroe,Alabama,US,31.56729412,-87.36995001,"Monroe, Alabama, US",4630089,11477,7714,102,347,20733,22.5,4455,6147,41.76040495,57.62092238,3262,8,23.25753896,41.8,88.03088803,6.174909193,10.52315093,74.13195162,39556,60.89090686,21.56453221,20.29240044,0.088906451,79.0445639,16556,13.3,1.1,23.3
1101,Montgomery,Alabama,US,32.2206831,-86.20969272,"Montgomery, Alabama, US",4630089,80422,122808,7214,8344,226486,292.5,64529,33311,65.08941991,33.60029857,33743,88,19.68315291,37.7,81.60813309,3.996059823,18.30416482,76.12818958,49640,58.58073134,23.37584104,15.13666987,1.439804183,10.49123006,26255,16.3,3,15.8
1103,Morgan,Alabama,US,34.45500589,-86.85475946,"Morgan, Alabama, US",4630089,99114,15074,712,10466,119679,206.3,13234,39664,24.63422806,73.83194967,20463,34,18.85570615,32.4,90.19607843,3.519764284,13.44091845,75.53649746,52797,72.13775577,22.81319014,17.46844797,2.095249993,38.59737217,24415,17.2,1.6,13.7
1105,Perry,Alabama,US,32.64048341,-87.29770589,"Perry, Alabama, US",4630089,2698,5528,84,144,8923,14.7,3860,1339,73.80497132,25.60229446,1373,0,26.00308857,43.4,93.06930693,6.535178098,17.8125,72.2540907,26814,72.75089315,21.24726477,19.40919037,0.289790459,100,14033,25.8,7.9,33.9
1107,Pickens,Alabama,US,33.28094866,-88.08818103,"Pickens, Alabama, US",4630089,11568,7596,66,1044,19930,22.4,4022,5594,41.60115846,57.86098469,3119,4,21.19912304,34.9,98.18181818,4.561178732,14.23884514,76.01519064,37586,73.95750332,19.66596449,19.02397432,1.676702658,100,19188,24.9,5,24.3
1109,Pike,Alabama,US,31.80396383,-85.9408295,"Pike, Alabama, US",4630089,19036,11428,664,802,33114,48.9,5636,8042,40.71960118,58.10273824,4689,9,20.60465618,36.2,87.28522337,4.504267892,15.78125,75.44015866,37259,59.27946653,18.98134261,14.95890575,1.452032211,51.67938235,20180,16.4,5.7,21.8
1111,Randolph,Alabama,US,33.29526734,-85.45708831,"Randolph, Alabama, US",4630089,17719,4120,86,682,22722,39.5,2203,8559,20.3285042,78.97942235,3226,0,18.99835753,37.4,91.80887372,4.01551688,15.13233602,74.65708874,40546,73.41200972,21.44774477,20.3520352,0.272505168,81.34246934,19584,15.7,2.1,17.5
1113,Russell,Alabama,US,32.28725256,-85.18415324,"Russell, Alabama, US",4630089,28946,24634,366,3378,57961,82.6,11228,9864,52.64194289,46.2468939,6202,8,21.79131984,45.1,88.14589666,4.020544773,16.78979181,73.48211671,39104,59.81090589,24.17403645,14.32997006,1.037901955,35.4089939,20760,17.4,1.1,18.9
1117,Shelby,Alabama,US,33.26879845,-86.66232561,"Shelby, Alabama, US",4630089,179689,26916,4404,12635,217702,248.5,33268,79700,28.94127882,69.33449326,37034,32,15.56115747,35,94.22158548,2.851423054,10.55438504,80.48575011,75663,79.67265856,23.47860756,15.33886244,1.583308597,22.94487019,34117,11.4,1.4,6.2
1115,St. Clair,Alabama,US,33.71902176,-86.31029372,"St. Clair, Alabama, US",4630089,78309,9070,748,2185,89512,132.3,7744,36166,17.42535046,81.37980694,15819,6,18.33530128,36.6,88.4057971,3.495199456,10.55607917,74.95095495,57284,78.94131543,22.69252452,16.6174315,0.476451593,72.79676528,24474,17.1,2.4,11.2
1119,Sumter,Alabama,US,32.59117397,-88.19916205,"Sumter, Alabama, US",4630089,3187,8052,186,149,12427,15.2,4648,1598,73.88332539,25.40136703,1295,0,22.49191497,42.8,76.97841727,5.893456376,23.25819672,73.80672066,27859,64.94947494,18.96619652,18.01276495,0.382642677,100,13929,20,6.4,36.4
1121,Talladega,Alabama,US,33.37823223,-86.16886178,"Talladega, Alabama, US",4630089,51242,24488,492,1913,79978,111.7,13138,22235,36.83930124,62.34753105,13514,14,23.15986226,38.8,92.70239453,4.279833038,13.1754609,73.13246058,41630,71.29620785,21.19306509,18.00120259,0.495646701,55.81533825,20430,18.9,4,17.4
1123,Tallapoosa,Alabama,US,32.86698258,-85.79833053,"Tallapoosa, Alabama, US",4630089,28472,10204,208,1021,40367,58.1,5859,14963,27.91196227,71.28293078,6952,6,18.18006719,36,89.89247312,4.186360567,17.0746634,74.53086945,42205,72.84776265,20.66572833,21.5596217,0.239427456,74.22625913,21410,18,1.5,16
1125,Tuscaloosa,Alabama,US,33.28726072,-87.52556818,"Tuscaloosa, Alabama, US",4630089,134441,61462,3442,8308,209355,147.3,37765,51117,41.88107173,56.68832897,34677,84,17.8726324,34.6,88.52459016,3.656627514,17.05706985,76.26014772,52557,63.15091394,20.94719761,13.27981772,0.942408377,25.50807579,23896,12,5.1,16.2
1127,Walker,Alabama,US,33.80270512,-87.30027177,"Walker, Alabama, US",4630089,57760,3690,348,1681,63521,84.7,4834,26002,15.50850176,83.41995509,10969,12,22.68098456,39.6,90.35846724,4.249562311,12.26433816,70.31074086,45434,76.07045854,22.19867841,19.3231938,0.614804899,74.08799964,20410,25.3,1.4,17.3
1129,Washington,Alabama,US,31.4092794,-88.20689944,"Washington, Alabama, US",4630089,10776,3624,306,264,16326,16.3,2258,6564,25.43938711,73.95223073,2502,0,20.79009208,32.9,92.67241379,5.834708265,10.0572363,74.31887446,44424,83.80223073,22.00512883,19.11100256,0.524115555,100,19598,23.9,0.9,18.6
1131,Wilcox,Alabama,US,31.98773215,-87.30891118,"Wilcox, Alabama, US",4630089,2868,6866,24,149,10373,13.1,4048,1833,68.57530069,31.05200745,1657,0,22.06663015,47.7,83.21678322,9.58302853,12.66490765,73.19123549,25385,64.95793901,23.76023337,19.44104639,0.670413093,100,14800,18.5,2.3,32.5
1133,Winston,Alabama,US,34.15030532,-87.37325922,"Winston, Alabama, US",4630089,22662,264,60,781,23629,39.9,974,10195,8.63169089,90.34916696,4419,4,19.6479681,37.8,92.85714286,4.191800429,10.49284579,74.83125405,41156,78.97479528,20.42688081,21.55959425,0.494940121,84.89217448,19299,25.6,1.5,16.7
6001,Alameda,California,US,37.64629437,-121.8929271,"Alameda, California, US",51722146,823593,176334,519982,373055,1671329,2043.6,617659,136309,80.20816289,17.70085836,119090,282,9.732710338,19.4,86.81412894,2.999946947,23.66049673,82.87623703,101744,53.26409133,20.54953553,13.82988361,8.441631516,0.388605754,39042,9.6,2.1,8.9
6003,Alpine,California,US,38.59678594,-119.8223594,"Alpine, California, US",51722146,767,0,22,139,1129,1.6,476,244,64.23751687,32.92847503,102,0,14.45512374,23,,4.570383912,23.1884058,,55384,83.94648829,17.52951862,25.43142598,0.54200542,100,26783,23.4,3.1,17.2
6005,Amador,California,US,38.44583082,-120.65696,"Amador, California, US",51722146,35636,1910,636,5753,39752,64.1,8153,13585,36.55398135,60.90835725,5296,6,10.83218967,29.7,88.48314607,4.005167959,19.36842105,80.38102857,58515,76.63591199,15.01663154,26.99895894,1.099324976,60.42372214,27496,19.1,10.8,9.8
6007,Butte,California,US,39.66727762,-121.6005252,"Butte, California, US",51722146,187742,4632,10922,37731,219186,134.4,50426,48730,49.40528678,47.74361688,22900,43,13.76832727,27.2,84.51454322,4.958524807,22.69457926,77.64622056,50945,59.17024782,19.98348151,18.59065278,2.49962713,18.90181818,25077,17.2,2.5,16.1
6009,Calaveras,California,US,38.20537103,-120.552913,"Calaveras, California, US",51722146,41752,606,780,5967,45905,44.7,10046,16518,36.98277131,60.80842291,3761,0,10.95193564,30.5,89.74895398,3.957660063,20.32176122,79.52590973,62984,77.65975771,16.93127494,27.52730143,0.725189958,75.40918864,30577,20.2,1.2,12.1
6011,Colusa,California,US,39.17881957,-122.2331726,"Colusa, California, US",51722146,19630,328,304,13018,21547,18.6,3239,4559,40.68584349,57.26667504,2993,0,12.21725592,40.5,89.3442623,12.92734069,18.46264368,79.85258919,57249,61.45086461,27.31308087,14.62523697,16.02012579,31.72417013,25745,12.6,1,12
6013,Contra Costa,California,US,37.91923498,-121.9289527,"Contra Costa, California, US",51722146,751283,104534,199260,300420,1153526,1465.2,416386,152877,71.62816781,26.29843321,98470,163,9.940587128,24,87.89724206,3.151424978,21.11007896,82.39202736,101463,65.64952827,22.58629908,15.77470299,6.476470908,0.792736112,40792,11,0.9,7.9
6015,Del Norte,California,US,41.74228275,-123.8974063,"Del Norte, California, US",51722146,21720,1768,820,5596,27812,28.4,4677,6461,40.83646206,56.41316686,3527,6,15.1322448,34.4,80.97826087,5.51149483,22.23398624,76.50212634,48518,62.40432697,21.03636625,18.03219779,1.679566564,33.67354072,20282,22.5,12.8,17.9
6017,El Dorado,California,US,38.77965956,-120.5233166,"El Dorado, California, US",51722146,170936,2284,8256,25378,192843,106,51621,61838,44.43994869,53.23565113,16768,28,11.22036068,22.5,89.36464088,3.570297743,18.91011402,81.94220304,81869,76.60614121,19.83500981,21.1817829,1.729882184,34.69993041,37089,13.2,1,8.7
6019,Fresno,California,US,36.75733899,-119.6466953,"Fresno, California, US",51722146,765202,58602,109800,537180,999101,156.2,193025,164464,52.89558996,45.06887868,142025,164,13.35890782,31.4,81.49611484,7.455509387,27.63353425,78.92496979,52318,52.83365723,28.3406074,12.28006838,12.02231477,10.80520178,21057,12.5,1.8,20.5
6021,Glenn,California,US,39.59875897,-122.3938452,"Glenn, California, US",51722146,25292,452,884,12079,28393,21.4,3995,7063,35.36337081,62.52102328,4228,0,13.18078902,32.3,81.69642857,6.534157602,23.01020408,77.88219779,47365,59.70849556,26.57325204,15.87692088,9.978333204,40.87191523,20362,17.7,1.2,12.1
6023,Humboldt,California,US,40.69923009,-123.876044,"Humboldt, California, US",51722146,112830,2322,3704,16354,135558,37.7,44768,21770,65.02912424,31.62267769,8903,32,14.46850837,29,83.82242287,3.561965507,24.715962,76.95578742,49471,56.85407338,19.20028158,17.87743908,1.946979845,29.75865937,24038,16.9,3.1,19.1
6025,Imperial,California,US,33.0393082,-115.3669042,"Imperial, California, US",51722146,163444,8634,3934,154088,181215,41.8,34678,20847,61.11414624,36.73933349,35225,28,12.84001073,34.6,85.24590164,18.09161917,27.36899563,81.66220564,46633,58.37210886,28.46936924,12.96837103,20.74986071,17.41783553,16311,14.3,5.7,22
6027,Inyo,California,US,36.51112084,-117.4111978,"Inyo, California, US",51722146,14404,272,286,4230,18039,1.8,4634,4620,48.86123998,48.71362294,1837,4,11.83384737,27.7,39.86254296,3.862464183,16.61442006,78.07991218,53793,63.21910182,20.46478012,23.40579307,2.694154855,46.43049714,28678,13.6,3.4,11.7
