FIPS,Admin2,Province_State,Lat,Long_,Combined_Key,vaccine_doses_administered_in_state,white_pop,black_pop,asian_pop,hisp_pop,Population,pop per sq mi,democrat_votes,republican_votes,democrat_percent,republican_percent,confirmed_cases,Country_Region
1071,Jackson,Alabama,34.78144169,-85.99750489,"Jackson, Alabama, US",1728736,47173,1786,264,1584,51626,49.4,3717,19670,15.726011169402607,83.22051108478593,6733,US
1073,Jefferson,Alabama,33.55554728,-86.895063,"Jefferson, Alabama, US",1728736,349516,261100,11198,26873,658573,592.5,181688,138843,55.758513171785616,42.6097444207115,74789,US
1075,Lamar,Alabama,33.77995024,-88.09668032,"Lamar, Alabama, US",1728736,12083,1346,14,263,13805,24.1,978,6174,13.596552203531212,85.8334491867093,1390,US
1077,Lauderdale,Alabama,34.90171875,-87.65624729,"Lauderdale, Alabama, US",1728736,80633,8546,718,2652,92729,138.8,11915,31721,26.87250501815557,71.54198335551095,9144,US
1079,Lawrence,Alabama,34.52041498,-87.31069453,"Lawrence, Alabama, US",1728736,25757,3372,66,779,32924,49.7,3562,12322,22.21944981598153,76.86357681991142,2928,US
1081,Lee,Alabama,32.60154883,-85.35132246,"Lee, Alabama, US",1728736,116411,34826,7228,6091,164542,230.8,27860,42221,38.992848045459,59.092499545130096,15433,US
1083,Limestone,Alabama,34.81185586,-86.98310072,"Limestone, Alabama, US",1728736,80121,14236,1432,6149,98915,147.8,13672,34640,27.76886361328324,70.35645374225652,9753,US
1085,Lowndes,Alabama,32.1597283,-86.65158371,"Lowndes, Alabama, US",1728736,2527,6468,48,181,9726,15.8,4972,1836,72.74323335771763,26.86174103877103,1363,US
1087,Macon,Alabama,32.38759944,-85.69267724,"Macon, Alabama, US",1728736,3130,12884,142,343,18068,35.2,7108,1541,81.48572738736674,17.665940616760288,1536,US
1089,Madison,Alabama,34.76327133,-86.55069633,"Madison, Alabama, US",1728736,256828,86406,9064,19352,372909,417.7,87286,102780,44.81560017867503,52.77074658438031,33577,US
1091,Marengo,Alabama,32.24767634,-87.78796182,"Marengo, Alabama, US",1728736,8793,8806,50,528,18863,21.5,5488,5343,50.348623853211,49.01834862385321,2502,US
1093,Marion,Alabama,34.13697363,-87.88704173,"Marion, Alabama, US",1728736,27939,1328,82,800,29709,41.5,1463,12205,10.5960744549866,88.39718983124502,3063,US
1095,Marshall,Alabama,34.36975964,-86.30486727,"Marshall, Alabama, US",1728736,89814,3532,574,14272,96774,164.4,5943,33191,14.98676081200353,83.69940738872778,11865,US
1097,Mobile,Alabama,30.78472347,-88.20842409,"Mobile, Alabama, US",1728736,243845,137002,7986,12443,413210,335.9,79474,101243,43.38953069380446,55.27450809110961,37515,US
1099,Monroe,Alabama,31.56729412,-87.36995001,"Monroe, Alabama, US",1728736,11477,7714,102,347,20733,22.5,4455,6147,41.76040494938133,57.62092238470191,1706,US
1101,Montgomery,Alabama,32.2206831,-86.20969272,"Montgomery, Alabama, US",1728736,80422,122808,7214,8344,226486,292.5,64529,33311,65.08941990538537,33.600298570693674,23779,US
1103,Morgan,Alabama,34.45500589,-86.85475946,"Morgan, Alabama, US",1728736,99114,15074,712,10466,119679,206.3,13234,39664,24.63422806299096,73.83194966680318,14138,US
1105,Perry,Alabama,32.64048341,-87.29770589,"Perry, Alabama, US",1728736,2698,5528,84,144,8923,14.7,3860,1339,73.80497131931166,25.60229445506692,1080,US
1107,Pickens,Alabama,33.28094866,-88.08818103,"Pickens, Alabama, US",1728736,11568,7596,66,1044,19930,22.4,4022,5594,41.60115846090194,57.860984691766646,2326,US
1109,Pike,Alabama,31.80396383,-85.9408295,"Pike, Alabama, US",1728736,19036,11428,664,802,33114,48.9,5636,8042,40.71960118488549,58.10273824145654,3044,US
1111,Randolph,Alabama,33.29526734,-85.45708831,"Randolph, Alabama, US",1728736,17719,4120,86,682,22722,39.5,2203,8559,20.32850419857894,78.97942234935867,1753,US
1113,Russell,Alabama,32.28725256,-85.18415324,"Russell, Alabama, US",1728736,28946,24634,366,3378,57961,82.6,11228,9864,52.64194289465047,46.24689390032351,4231,US
1117,Shelby,Alabama,33.26879845,-86.66232561,"Shelby, Alabama, US",1728736,179689,26916,4404,12635,217702,248.5,33268,79700,28.941278816876903,69.33449325793823,23077,US
1115,St. Clair,Alabama,33.71902176,-86.31029372,"St. Clair, Alabama, US",1728736,78309,9070,748,2185,89512,132.3,7744,36166,17.425350464661012,81.37980693503746,9360,US
1119,Sumter,Alabama,32.59117397,-88.19916205,"Sumter, Alabama, US",1728736,3187,8052,186,149,12427,15.2,4648,1598,73.88332538547131,25.40136703226832,1026,US
1121,Talladega,Alabama,33.37823223,-86.16886178,"Talladega, Alabama, US",1728736,51242,24488,492,1913,79978,111.7,13138,22235,36.83930123657572,62.3475310545944,7999,US
1123,Tallapoosa,Alabama,32.86698258,-85.79833053,"Tallapoosa, Alabama, US",1728736,28472,10204,208,1021,40367,58.1,5859,14963,27.911962269544087,71.28293077985803,3848,US
1125,Tuscaloosa,Alabama,33.28726072,-87.52556818,"Tuscaloosa, Alabama, US",1728736,134441,61462,3442,8308,209355,147.3,37765,51117,41.88107172958346,56.6883289712993,25082,US
1127,Walker,Alabama,33.80270512,-87.30027177,"Walker, Alabama, US",1728736,57760,3690,348,1681,63521,84.7,4834,26002,15.508501764517163,83.41995508501765,7067,US
1129,Washington,Alabama,31.4092794,-88.20689944,"Washington, Alabama, US",1728736,10776,3624,306,264,16326,16.3,2258,6564,25.4393871113114,73.95223073456512,1639,US
1131,Wilcox,Alabama,31.98773215,-87.30891118,"Wilcox, Alabama, US",1728736,2868,6866,24,149,10373,13.1,4048,1833,68.57530069456209,31.05200745383703,1247,US
1133,Winston,Alabama,34.15030532,-87.37325922,"Winston, Alabama, US",1728736,22662,264,60,781,23629,39.9,974,10195,8.631690889755406,90.3491669620702,2717,US
2013,Aleutians East,Alaska,55.32222414,-161.9722021,"Aleutians East, Alaska, US",413024,705,616,1918,493,3337,0.4,2666,4652,34.56502009594192,60.31375599636976,364,US
2016,Aleutians West,Alaska,52.3233,-174.1596,"Aleutians West, Alaska, US",413024,1912,704,2714,787,5634,1.3,4274,3516,52.64843557526484,43.31116038433112,656,US
2020,Anchorage,Alaska,61.14998174,-149.1426986,"Anchorage, Alaska, US",413024,183670,18382,26322,26992,288000,171.2,4881,2383,65.10604241696679,31.786047752434303,28574,US
6001,Alameda,California,37.64629437,-121.8929271,"Alameda, California, US",18223412,823593,176334,519982,373055,1671329,2043.6,617659,136309,80.20816289428234,17.70085836352539,85470,US
6003,Alpine,California,38.59678594,-119.8223594,"Alpine, California, US",18223412,767,0,22,139,1129,1.6,476,244,64.23751686909581,32.928475033738195,88,US
6005,Amador,California,38.44583082,-120.65696,"Amador, California, US",18223412,35636,1910,636,5753,39752,64.1,8153,13585,36.553981348637016,60.90835724533717,3592,US
6007,Butte,California,39.66727762,-121.6005252,"Butte, California, US",18223412,187742,4632,10922,37731,219186,134.4,50426,48730,49.40528677522387,47.74361687535516,13088,US
6009,Calaveras,California,38.20537103,-120.552913,"Calaveras, California, US",18223412,41752,606,780,5967,45905,44.7,10046,16518,36.98277131497571,60.80842291267855,2018,US
6011,Colusa,California,39.17881957,-122.2331726,"Colusa, California, US",18223412,19630,328,304,13018,21547,18.6,3239,4559,40.68584348699912,57.26667504082402,2173,US
6013,Contra Costa,California,37.91923498,-121.9289527,"Contra Costa, California, US",18223412,751283,104534,199260,300420,1153526,1465.2,416386,152877,71.62816781234302,26.298433210164525,66374,US
6015,Del Norte,California,41.74228275,-123.8974063,"Del Norte, California, US",18223412,21720,1768,820,5596,27812,28.4,4677,6461,40.83646206234175,56.41316685584563,1144,US
6017,El Dorado,California,38.77965956,-120.5233166,"El Dorado, California, US",18223412,170936,2284,8256,25378,192843,106.0,51621,61838,44.43994869101834,53.23565113336031,10053,US
6019,Fresno,California,36.75733899,-119.6466953,"Fresno, California, US",18223412,765202,58602,109800,537180,999101,156.2,193025,164464,52.8955899560722,45.06887867652096,107915,US
6021,Glenn,California,39.59875897,-122.3938452,"Glenn, California, US",18223412,25292,452,884,12079,28393,21.4,3995,7063,35.36337080640878,62.52102328051695,2870,US
6023,Humboldt,California,40.69923009,-123.876044,"Humboldt, California, US",18223412,112830,2322,3704,16354,135558,37.7,44768,21770,65.02912423921096,31.6226776869108,3488,US
6025,Imperial,California,33.0393082,-115.3669042,"Imperial, California, US",18223412,163444,8634,3934,154088,181215,41.8,34678,20847,61.11414623830253,36.739333486068766,30285,US
6027,Inyo,California,36.51112084,-117.4111978,"Inyo, California, US",18223412,14404,272,286,4230,18039,1.8,4634,4620,48.86123998312948,48.71362294390553,1377,US
6029,Kern,California,35.34329425,-118.7277796,"Kern, California, US",18223412,740959,60592,47500,491545,900202,103.3,133366,164484,43.68473461472951,53.87759915097677,106288,US
6031,Kings,California,36.07409056,-119.8159973,"Kings, California, US",18223412,123647,15544,6602,84514,152940,110.1,18699,24072,42.6324069218668,54.882469619935705,23690,US
6033,Lake,California,39.10124298,-122.7536244,"Lake, California, US",18223412,56048,1492,824,14171,64386,51.5,14941,13123,51.85686519505761,45.54699430792725,3345,US
6035,Lassen,California,40.67311306,-120.5935099,"Lassen, California, US",18223412,24740,4786,536,5910,30573,7.7,2799,8970,23.35029615416701,74.83106698923834,5652,US
6037,Los Angeles,California,34.30828379,-118.2282411,"Los Angeles, California, US",18223412,7098309,853634,1445032,4881970,10039107,2419.6,3028885,1145530,71.02780836068207,26.86285062371537,1220256,US
6039,Madera,California,37.21513971,-119.7665589,"Madera, California, US",18223412,135183,4536,3910,92483,157327,70.6,23168,29378,43.11769522816943,54.67505397156257,16938,US
6041,Marin,California,38.07122463,-122.7210631,"Marin, California, US",18223412,220821,9260,14474,42160,258826,485.1,128288,24612,82.32561124302124,15.794134633895911,13858,US
6043,Mariposa,California,37.57978556,-119.9073334,"Mariposa, California, US",18223412,15364,240,280,2073,17203,12.6,4088,5950,39.76653696498055,57.87937743190662,410,US
6045,Mendocino,California,39.4381191,-123.3911313,"Mendocino, California, US",18223412,74656,1258,1534,22379,86749,25.1,28782,13267,66.40978311029072,30.611444393170284,3750,US
6047,Merced,California,37.18922369,-120.7209035,"Merced, California, US",18223412,228145,11364,21806,169442,277680,132.2,48991,39397,54.10142014709455,43.50663692382446,30776,US
6049,Modoc,California,41.58965602,-120.7244817,"Modoc, California, US",18223412,7798,190,110,1291,8841,2.5,1150,3109,26.47939212525904,71.58646097167856,466,US
6051,Mono,California,37.93899289,-118.8872409,"Mono, California, US",18223412,13019,164,430,3875,14444,4.7,4013,2513,59.557732264767,37.29593351142773,1257,US
6053,Monterey,California,36.21862405,-121.2413397,"Monterey, California, US",18223412,359555,18076,26772,257721,434061,126.5,113953,46299,69.51617527741683,28.24435863179664,44166,US
6055,Napa,California,38.50735751,-122.332839,"Napa, California, US",18223412,115199,3720,11514,47660,137744,182.4,49817,20676,69.04643104643104,28.656964656964657,9443,US
6057,Nevada,California,39.30394768,-120.7627281,"Nevada, California, US",18223412,93051,738,1248,9732,99755,103.1,36359,26779,56.15289575289575,41.35752895752896,4473,US
6059,Orange,California,33.70147516,-117.7645998,"Orange, California, US",18223412,2258705,70240,652176,1081091,3175692,3807.7,814009,676498,53.4788810029216,44.44466343825984,266353,US
6061,Placer,California,39.06167234,-120.7240569,"Placer, California, US",18223412,334288,8370,30392,57381,398329,247.6,106869,122488,45.459920709193305,52.10392880842593,22222,US
6063,Plumas,California,40.00355989,-120.8395236,"Plumas, California, US",18223412,17025,246,174,1750,18807,7.8,4561,6445,40.50621669626998,57.238010657193605,675,US
6065,Riverside,California,33.74314981,-115.9933578,"Riverside, California, US",18223412,1966247,179496,165158,1236032,2470546,303.8,528340,449144,52.98468845396307,45.04250087248134,297545,US
6067,Sacramento,California,38.45106826,-121.3425374,"Sacramento, California, US",18223412,973964,164722,252600,366764,1552058,1470.8,440808,259405,61.35627192249875,36.10670341295028,99439,US
6069,San Benito,California,36.60308176,-121.069975,"San Benito, California, US",18223412,54869,1154,2276,38214,62808,39.8,17628,10590,61.14464099895942,36.73257023933403,5975,US
6071,San Bernardino,California,34.84060306,-116.1774685,"San Bernardino, California, US",18223412,1668976,198960,164694,1186808,2180085,101.5,455859,366257,54.1960220179996,43.54344750514189,294908,US
6073,San Diego,California,33.03484597,-116.7365326,"San Diego, California, US",18223412,2517388,198592,394558,1140033,3338330,735.8,964650,600094,60.20998125635477,37.45570776141705,270539,US
6075,San Francisco,California,37.75215114,-122.4385672,"San Francisco, California, US",18223412,465286,51394,294884,134309,881549,17179.2,378156,56417,85.25610242744385,12.71933680980627,36683,US
6077,San Joaquin,California,37.93433732,-121.2730061,"San Joaquin, California, US",18223412,503550,63008,128342,320334,762148,492.6,161137,121098,57.09320247311638,42.90679752688363,72181,US
6079,San Luis Obispo,California,35.38822029,-120.4039028,"San Luis Obispo, California, US",18223412,251422,8302,11074,64860,283111,81.7,88310,67436,55.29258549657513,42.22297356524788,20893,US
6081,San Mateo,California,37.4228808,-122.3275546,"San Mateo, California, US",18223412,456050,22006,221252,183978,766573,1602.2,291496,75584,77.8878346350444,20.196071620383112,40893,US
6083,Santa Barbara,California,34.65329488,-120.0188492,"Santa Barbara, California, US",18223412,381178,12246,25548,205535,446499,155.0,129963,65736,64.87154273506407,32.812383010796694,34302,US
6085,Santa Clara,California,37.23104908,-121.6970462,"Santa Clara, California, US",18223412,1009277,57754,748272,482298,1927852,1381.0,617967,214612,72.6386761658366,25.22647903415963,115283,US
6087,Santa Cruz,California,37.05580291,-122.0066524,"Santa Cruz, California, US",18223412,237679,4380,13508,92922,273213,589.4,114246,26937,78.87901572112098,18.59814826322004,16142,US
6089,Shasta,California,40.76391419,-122.0396884,"Shasta, California, US",18223412,157768,2544,5652,18935,180080,46.9,30000,60789,32.28236306897665,65.41375228666737,12764,US
6091,Sierra,California,39.57713498,-120.5200701,"Sierra, California, US",18223412,2783,32,18,381,3005,3.4,730,1142,37.80424650440186,59.1403417918177,64,US
6093,Siskiyou,California,41.59198861,-122.5407434,"Siskiyou, California, US",18223412,37380,802,622,5744,43539,7.2,9593,13290,40.86997273346967,56.62065439672802,1787,US
6095,Solano,California,38.26827353,-121.9357113,"Solano, California, US",18223412,266790,66374,66160,122103,447643,503.0,131639,69306,63.94060531288099,33.663789544242434,31248,US
6097,Sonoma,California,38.52746429,-122.8862506,"Sonoma, California, US",18223412,428842,11110,20164,134954,494336,307.1,199938,61825,74.51559163228569,23.041775213646545,29521,US
6099,Stanislaus,California,37.55862499,-120.9970722,"Stanislaus, California, US",18223412,458498,19804,32514,262068,550660,344.2,105841,104145,49.23890692892432,48.449900909031705,58676,US
6101,Sutter,California,39.03417539,-121.6945899,"Sutter, California, US",18223412,70495,2888,16214,30907,96971,157.3,17367,24375,40.72554169402496,57.1592721133102,9191,US
6103,Tehama,California,40.12570935,-122.2370171,"Tehama, California, US",18223412,58737,824,902,16776,65084,21.5,8911,19141,31.01527966308169,66.62141937280289,5310,US
6105,Trinity,California,40.6491767,-123.114713,"Trinity, California, US",18223412,10687,130,178,907,12285,4.3,2851,3188,45.55040741332481,50.93465409809874,375,US
6107,Tulare,California,36.22026558,-118.8020203,"Tulare, California, US",18223412,411030,10342,17822,305824,466195,91.7,66105,77579,45.00459543180039,52.81614868774892,57384,US
6109,Tuolumne,California,38.02644018,-119.9525093,"Tuolumne, California, US",18223412,49208,1814,704,6906,54478,24.9,11978,17689,39.39094975006577,58.17219152854513,4013,US
6111,Ventura,California,34.44465746,-119.0910613,"Ventura, California, US",18223412,711087,21680,61122,365835,846006,446.7,251388,162207,59.45438420150181,38.36267959557736,82366,US
6113,Yolo,California,38.68278902,-121.9018288,"Yolo, California, US",18223412,163141,6566,30952,70392,220500,197.9,67598,27292,69.47807675704566,28.05106173042531,13603,US
6115,Yuba,California,39.26255932,-121.3535644,"Yuba, California, US",18223412,61664,3818,5674,22925,78668,114.2,11230,17676,37.6896227681568,59.32339911397503,5810,US
8001,Adams,Colorado,39.87432092,-104.3362578,"Adams, Colorado, US",2691248,443528,22290,22536,211139,517421,378.2,134202,95657,56.68750528005406,40.4059305567289,51495,US
8003,Alamosa,Colorado,37.57250606,-105.7885451,"Alamosa, Colorado, US",2691248,14209,354,280,7725,16233,21.4,3759,3813,48.14293032786885,48.83452868852459,1351,US
8005,Arapahoe,Colorado,39.64977461,-104.3353617,"Arapahoe, Colorado, US",2691248,502075,76246,40096,129681,656590,716.7,213607,127323,60.998677834161,36.35898944266284,52135,US
8007,Archuleta,Colorado,37.19474156,-107.0476867,"Archuleta, Colorado, US",2691248,12925,128,124,2585,14029,8.9,3738,5189,40.87926509186352,56.74759405074366,749,US
8009,Baca,Colorado,37.31940883,-102.5603223,"Baca, Colorado, US",2691248,3351,52,8,405,3581,1.5,317,1867,14.247191011235955,83.91011235955055,278,US
8011,Bent,Colorado,37.95474293,-103.0720195,"Bent, Colorado, US",2691248,4770,776,132,1798,5577,4.3,732,1503,32.189973614775724,66.09498680738787,1483,US
8013,Boulder,Colorado,40.09313619,-105.3546767,"Boulder, Colorado, US",2691248,293688,4642,15494,45579,326196,405.6,159089,42501,77.18607934559533,20.620442382987807,20668,US
8014,Broomfield,Colorado,39.95998787,-105.0566324,"Broomfield, Colorado, US",2691248,61871,1158,4634,8964,70465,1691.9,29077,16295,62.354177388917485,34.94381540572997,4203,US
8015,Chaffee,Colorado,38.74745778,-106.1926573,"Chaffee, Colorado, US",2691248,19110,680,164,2027,20356,17.6,7160,6222,52.19419740486951,45.35646595713661,1504,US
8017,Cheyenne,Colorado,38.82777431,-102.6032558,"Cheyenne, Colorado, US",2691248,1722,12,54,201,1831,1.0,131,993,11.53169014084507,87.41197183098592,125,US
8019,Clear Creek,Colorado,39.68864463,-105.6463118,"Clear Creek, Colorado, US",2691248,9134,130,96,737,9700,23.0,3604,2754,55.0397067806964,42.05864386072083,403,US
8021,Conejos,Colorado,37.201606,-106.1917488,"Conejos, Colorado, US",2691248,7519,86,68,4211,8205,6.4,1959,2286,45.21117009000693,52.75790445418879,460,US
8023,Costilla,Colorado,37.27732493,-105.4276548,"Costilla, Colorado, US",2691248,3417,94,68,2378,3887,2.9,1311,741,62.60744985673352,35.38681948424069,203,US
8025,Crowley,Colorado,38.32608609,-103.7844965,"Crowley, Colorado, US",2691248,5001,1260,114,1986,6061,7.4,437,1271,24.97142857142857,72.62857142857143,2141,US
8027,Custer,Colorado,38.10883162,-105.3683478,"Custer, Colorado, US",2691248,4792,118,18,293,5068,5.8,1112,2474,30.591471801925724,68.060522696011,175,US
8029,Delta,Colorado,38.86246243,-107.8631342,"Delta, Colorado, US",2691248,29546,366,270,4769,31162,27.1,5887,13081,30.392359318533813,67.53226639132679,2544,US
8031,Denver,Colorado,39.76018276,-104.8725695,"Denver, Colorado, US",2691248,588470,71348,26782,212984,727211,3922.6,313293,71618,79.55051557909651,18.18504985666368,64542,US
8033,Dolores,Colorado,37.75208676,-108.5211585,"Dolores, Colorado, US",2691248,1923,12,6,130,2055,1.9,341,1089,23.53347135955832,75.15527950310559,67,US
8035,Douglas,Colorado,39.33133796,-104.930001,"Douglas, Colorado, US",2691248,314268,6486,18224,32066,351154,339.7,104653,121270,45.18598475853285,52.36070033030374,23895,US
8037,Eagle,Colorado,39.62754308,-106.6933637,"Eagle, Colorado, US",2691248,52070,1158,648,16381,55127,31.0,18588,9892,63.78860672614962,33.94646533973919,5756,US
8041,El Paso,Colorado,38.83240149,-104.5251411,"El Paso, Colorado, US",2691248,600427,53228,19474,127746,720403,292.6,161941,202828,42.74530092305418,53.537670482590784,56922,US
8039,Elbert,Colorado,39.28656773,-104.1358721,"Elbert, Colorado, US",2691248,25204,498,210,2032,26729,12.5,4490,14027,23.652741926987307,73.89243006900912,1427,US
8043,Fremont,Colorado,38.47362326,-105.4399667,"Fremont, Colorado, US",2691248,43599,3566,630,6441,47839,30.5,7369,17517,28.833587666784048,68.5409085573424,5651,US
8045,Garfield,Colorado,39.59921777,-107.902708,"Garfield, Colorado, US",2691248,56449,910,452,17578,60061,19.1,15427,14717,49.91910432306498,47.62166709811028,5439,US
8047,Gilpin,Colorado,39.85646523,-105.5252597,"Gilpin, Colorado, US",2691248,5839,104,80,441,6243,36.3,2223,1833,53.105590062111794,43.7888198757764,188,US
8049,Grand,Colorado,40.10603347,-106.1178042,"Grand, Colorado, US",2691248,14972,190,136,1516,15734,8.0,4710,4883,47.72036474164133,49.47315096251266,1338,US
8051,Gunnison,Colorado,38.66611652,-107.0320729,"Gunnison, Colorado, US",2691248,16392,150,134,1677,17462,4.7,7132,3735,63.73547810545129,33.37801608579088,1258,US
8053,Hinsdale,Colorado,37.82247444,-107.3004345,"Hinsdale, Colorado, US",2691248,764,12,10,47,820,0.8,255,353,40.348101265822784,55.85443037974683,16,US
8055,Huerfano,Colorado,37.68473101,-104.9612585,"Huerfano, Colorado, US",2691248,6121,96,68,2339,6897,4.2,2076,2203,47.11756695415343,50.0,335,US
8057,Jackson,Colorado,40.6659387,-106.3408905,"Jackson, Colorado, US",2691248,1318,0,8,175,1392,0.9,175,681,19.97716894977169,77.73972602739725,52,US
8059,Jefferson,Colorado,39.58635604,-105.2517692,"Jefferson, Colorado, US",2691248,533460,9910,16510,90862,582881,699.5,218396,148417,57.87501523751981,39.33055612972297,40529,US
8061,Kiowa,Colorado,38.43260896,-102.7392145,"Kiowa, Colorado, US",2691248,1338,14,2,118,1406,0.8,98,795,10.852713178294572,88.03986710963456,92,US
