FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,vaccine_doses_administered_in_state,white_pop,black_pop,asian_pop,hisp_pop,Population,pop per sq mi,democrat_votes,republican_votes,confirmed_cases,
1083,Limestone,Alabama,US,34.81185586,-86.98310072,"Limestone, Alabama, US",4630089,197080,36744,3204,22890,98915,147.8,13672,34640,15066,
1085,Lowndes,Alabama,US,32.1597283,-86.65158371,"Lowndes, Alabama, US",4630089,202046,143016,5648,16822,9726,15.8,4972,1836,1723,
1087,Macon,Alabama,US,32.38759944,-85.69267724,"Macon, Alabama, US",4630089,321116,80400,4120,15162,18068,35.2,7108,1541,2277,
1089,Madison,Alabama,US,34.76327133,-86.55069633,"Madison, Alabama, US",4630089,2229970,439808,41296,128772,372909,417.7,87286,102780,51509,
1091,Marengo,Alabama,US,32.24767634,-87.78796182,"Marengo, Alabama, US",4630089,17586,17612,100,1056,18863,21.5,5488,5343,3311,
1093,Marion,Alabama,US,34.13697363,-87.88704173,"Marion, Alabama, US",4630089,3132442,711532,106464,522504,29709,41.5,1463,12205,4912,
1095,Marshall,Alabama,US,34.36975964,-86.30486727,"Marshall, Alabama, US",4630089,653834,49280,6300,74110,96774,164.4,5943,33191,18165,
1097,Mobile,Alabama,US,30.78472347,-88.20842409,"Mobile, Alabama, US",4630089,487690,274004,15972,24886,413210,335.9,79474,101243,71773,
1099,Monroe,Alabama,US,31.56729412,-87.36995001,"Monroe, Alabama, US",4630089,2541098,368428,89336,268478,20733,22.5,4455,6147,3262,
1101,Montgomery,Alabama,US,32.2206831,-86.20969272,"Montgomery, Alabama, US",4630089,5497440,1217584,538148,956522,226486,292.5,64529,33311,33743,
1103,Morgan,Alabama,US,34.45500589,-86.85475946,"Morgan, Alabama, US",4630089,667096,55688,4148,51126,119679,206.3,13234,39664,20463,
1105,Perry,Alabama,US,32.64048341,-87.29770589,"Perry, Alabama, US",4630089,378504,28456,2124,7898,8923,14.7,3860,1339,1373,
1107,Pickens,Alabama,US,33.28094866,-88.08818103,"Pickens, Alabama, US",4630089,310548,34072,6416,14144,19930,22.4,4022,5594,3119,
1109,Pike,Alabama,US,31.80396383,-85.9408295,"Pike, Alabama, US",4630089,479230,81432,4552,21372,33114,48.9,5636,8042,4689,
1111,Randolph,Alabama,US,33.29526734,-85.45708831,"Randolph, Alabama, US",4630089,532796,52568,5228,42608,22722,39.5,2203,8559,3226,
1113,Russell,Alabama,US,32.28725256,-85.18415324,"Russell, Alabama, US",4630089,157442,50552,1100,9472,57961,82.6,11228,9864,6202,
1117,Shelby,Alabama,US,33.26879845,-86.66232561,"Shelby, Alabama, US",4630089,1505426,1009240,63548,175554,217702,248.5,33268,79700,37034,
1115,St. Clair,Alabama,US,33.71902176,-86.31029372,"St. Clair, Alabama, US",4630089,,,,,,89512,132.3,7744,36166,15819
1119,Sumter,Alabama,US,32.59117397,-88.19916205,"Sumter, Alabama, US",4630089,,373516,164844,5568,28598,12427,15.2,4648,1598,1295
1121,Talladega,Alabama,US,33.37823223,-86.16886178,"Talladega, Alabama, US",4630089,,102484,48976,984,3826,79978,111.7,13138,22235,13514
1123,Tallapoosa,Alabama,US,32.86698258,-85.79833053,"Tallapoosa, Alabama, US",4630089,,56944,20408,416,2042,40367,58.1,5859,14963,6952
1125,Tuscaloosa,Alabama,US,33.28726072,-87.52556818,"Tuscaloosa, Alabama, US",4630089,,268882,122924,6884,16616,209355,147.3,37765,51117,34677
1127,Walker,Alabama,US,33.80270512,-87.30027177,"Walker, Alabama, US",4630089,,350984,57480,3516,33232,63521,84.7,4834,26002,10969
1129,Washington,Alabama,US,31.4092794,-88.20689944,"Washington, Alabama, US",4630089,,4541160,306824,216460,449044,16326,16.3,2258,6564,2502
1131,Wilcox,Alabama,US,31.98773215,-87.30891118,"Wilcox, Alabama, US",4630089,,16578,21756,208,1156,10373,13.1,4048,1833,1657
1133,Winston,Alabama,US,34.15030532,-87.37325922,"Winston, Alabama, US",4630089,,63514,16708,252,2060,23629,39.9,974,10195,4419
2013,Aleutians East,Alaska,US,55.32222414,-161.9722021,"Aleutians East, Alaska, US",812327,,,,,,3337,0.4,2666,4652,431
2016,Aleutians West,Alaska,US,52.3233,-174.1596,"Aleutians West, Alaska, US",812327,,,,,,5634,1.3,4274,3516,918
2020,Anchorage,Alaska,US,61.14998174,-149.1426986,"Anchorage, Alaska, US",812327,,,,,,288000,171.2,4881,2383,50469
2050,Bethel,Alaska,US,60.90980451,-159.8561831,"Bethel, Alaska, US",812327,,,,,,18386,0.4,0,0,5430
2060,Bristol Bay,Alaska,US,58.74513976,-156.701064,"Bristol Bay, Alaska, US",812327,,,,,,836,2,0,0,0
2164,Bristol Bay plus Lake and Peninsula,Alaska,US,58.62403337,-156.2140589,"Bristol Bay plus Lake and Peninsula, Alaska, US",812327,,,,,,1592,0.1,0,0,396
2068,Denali,Alaska,US,63.67264044,-150.0076108,"Denali, Alaska, US",812327,,,,,,2097,0.1,0,0,252
2070,Dillingham,Alaska,US,59.79603738,-158.2381942,"Dillingham, Alaska, US",812327,,,,,,4916,0.3,0,0,673
2090,Fairbanks North Star,Alaska,US,64.80726247,-146.5692662,"Fairbanks North Star,Alaska,US",812327,,,,,,96849,13.3,0,0,13851
2100,Haines,Alaska,US,59.09893571,-135.4679843,"Haines, Alaska, US",812327,,,,,,2530,1.1,0,0,220
2105,Hoonah-Angoon,Alaska,US,58.29307365,-135.6424424,"Hoonah-Angoon, Alaska, US",812327,,,,,,2148,0.3,0,0,0
2110,Juneau,Alaska,US,58.45031811,-134.200436,"Juneau, Alaska, US",812327,,50118,2432,228,1694,31974,11.6,0,0,3400
2122,Kenai Peninsula,Alaska,US,60.24429722,-151.5388884,"Kenai Peninsula,Alaska,US",812327,,,,,,58708,3.4,0,0,9456
2130,Ketchikan Gateway,Alaska,US,55.57445008,-130.975561,"Ketchikan Gateway, Alaska, US",812327,,,,,,13901,2.8,0,0,1553
2150,Kodiak Island,Alaska,US,57.65529415,-153.7493579,"Kodiak Island, Alaska, US",812327,,,,,,12998,2.1,0,0,2268
2170,Matanuska-Susitna,Alaska,US,62.31305045,-149.5741743,"Matanuska-Susitna,Alaska,US",812327,,,,,,108317,3.6,0,0,19089
2180,Nome,Alaska,US,64.90320724,-164.0353804,"Nome, Alaska, US",812327,,,,,,10004,0.4,0,0,1154
2185,North Slope,Alaska,US,69.31479216,-153.4836093,"North Slope, Alaska, US",812327,,,,,,9832,0.1,0,0,2441
2188,Northwest Arctic,Alaska,US,67.04919196,-159.7503946,"Northwest Arctic, Alaska, US",812327,,,,,,7621,0.2,0,0,1431
2195,Petersburg,Alaska,US,57.13978948,-132.9540995,"Petersburg, Alaska, US",812327,,,,,,3266,1.2,0,0,281
2198,Prince of Wales-Hyder,Alaska,US,55.76261984,-133.0511621,"Prince of Wales-Hyder, Alaska, US",812327,,,,,,6203,1.4,0,0,475
2220,Sitka,Alaska,US,57.24124555,-135.3206587,"Sitka, Alaska, US",812327,,,,,,8493,3.1,0,0,1143
2230,Skagway,Alaska,US,59.56149996,-135.3337748,"Skagway, Alaska, US",812327,,,,,,1183,2.1,0,0,73
2240,Southeast Fairbanks,Alaska,US,63.87692095,-143.2127643,"Southeast Fairbanks, Alaska, US",812327,,,,,,6893,0.3,0,0,1104
2261,Valdez-Cordova,Alaska,US,61.47502768,-144.7126799,"Valdez-Cordova, Alaska, US",812327,,,,,,9202,0.3,0,0,0
2275,Wrangell,Alaska,US,56.3202004,-132.0583731,"Wrangell, Alaska, US",812327,,,,,,2502,0.9,0,0,143
2282,Yakutat,Alaska,US,59.8909808,-140.3601451,"Yakutat, Alaska, US",812327,,,,,,579,0.1,0,0,208
4001,Apache,Arizona,US,35.39465006,-109.4892383,"Apache, Arizona, US",8393061,,32026,816,696,9472,71887,6.4,0,0,13283
4003,Cochise,Arizona,US,31.87934684,-109.7516088,"Cochise, Arizona, US",8393061,,220930,13188,4292,89976,125922,21.3,0,0,14809
4005,Coconino,Arizona,US,35.83883429,-111.7707178,"Coconino, Arizona, US",8393061,,188638,4600,5252,41084,143476,7.2,0,0,21866
4007,Gila,Arizona,US,33.80190085,-110.8132779,"Gila, Arizona, US",8393061,,84514,984,816,20432,54018,11.3,0,0,9156
4009,Graham,Arizona,US,32.93166885,-109.8882178,"Graham, Arizona, US",8393061,,82896,2532,776,26584,38837,8.1,0,0,7113
4011,Greenlee,Arizona,US,33.21498827,-109.2405279,"Greenlee, Arizona, US",8393061,,17120,448,120,9052,9498,4.6,0,0,1007
4012,La Paz,Arizona,US,33.72854224,-113.9810029,"La Paz, Arizona, US",8393061,,,,,,21108,4.6,0,0,3065
4013,Maricopa,Arizona,US,33.34835867,-112.4918154,"Maricopa, Arizona, US",8393061,,7427792,574008,392784,2817710,4485414,414.9,0,0,709285
4015,Mohave,Arizona,US,35.70471703,-113.7577902,"Mohave, Arizona, US",8393061,,389202,7176,4176,71838,212181,15,0,0,31985
4017,Navajo,Arizona,US,35.3997715,-110.3218983,"Navajo, Arizona, US",8393061,,111772,2900,1196,25484,110924,10.8,0,0,20128
4019,Pima,Arizona,US,32.0971334,-111.7890033,"Pima, Arizona, US",8393061,,1776512,94760,65568,790892,1047279,106.7,0,0,137882
4021,Pinal,Arizona,US,32.90525627,-111.3449483,"Pinal, Arizona, US",8393061,,765158,54132,17156,284552,462789,70,0,0,70178
4023,Santa Cruz,Arizona,US,31.52508998,-110.8479088,"Santa Cruz, Arizona, US",8393061,,,,,,46498,38.3,0,0,8861
4025,Yavapai,Arizona,US,34.59933926,-112.5538588,"Yavapai, Arizona, US",8393061,,438556,4812,5024,69282,235099,26,0,0,26801
4027,Yuma,Arizona,US,32.76895712,-113.9066674,"Yuma, Arizona, US",8393061,,409412,14556,6232,281298,213787,35.5,0,0,41000
5001,Arkansas,Arkansas,US,34.29145151,-91.37277296,"Arkansas, Arkansas, US",3092442,,25098,8036,268,1204,17486,19.2,0,0,3428
5003,Ashley,Arkansas,US,33.19153461,-91.7698471,"Ashley, Arkansas, US",3092442,,28642,8888,108,2238,19657,23.6,0,0,3133
5005,Baxter,Arkansas,US,36.28784385,-92.33782872,"Baxter, Arkansas, US",3092442,,80956,472,272,2204,41932,74.9,0,0,5737
5007,Benton,Arkansas,US,36.33644656,-94.25680817,"Benton, Arkansas, US",3092442,,1242492,35064,53192,208330,279141,261.2,0,0,41260
5009,Boone,Arkansas,US,36.3084504,-93.09374925,"Boone, Arkansas, US",3092442,,936820,53308,30336,57066,37432,62.5,0,0,6118
5011,Bradley,Arkansas,US,33.46755808,-92.15980837,"Bradley, Arkansas, US",3092442,,210974,16960,2308,17768,10763,17.7,0,0,1940
5013,Calhoun,Arkansas,US,33.55598792,-92.49974403,"Calhoun, Arkansas, US",3092442,,541252,111448,12200,51270,5189,8.5,0,0,590
5015,Carroll,Arkansas,US,36.3403856,-93.54270261,"Carroll, Arkansas, US",3092442,,953398,75800,11356,51190,28380,43.6,0,0,4228
5017,Chicot,Arkansas,US,33.26458973,-91.29539209,"Chicot, Arkansas, US",3092442,,8698,10928,156,1200,10118,18.3,0,0,2003
5019,Clark,Arkansas,US,34.04613432,-93.17484713,"Clark, Arkansas, US",3092442,,4655808,660168,472852,1567190,22320,26.6,0,0,3155
5021,Clay,Arkansas,US,36.36826212,-90.4148172,"Clay, Arkansas, US",3092442,,1236354,130456,27736,97898,14551,25.2,0,0,2664
5023,Cleburne,Arkansas,US,35.53864922,-92.02640019,"Cleburne, Arkansas, US",3092442,,76448,1040,176,1996,24919,46.9,0,0,3627
5025,Cleveland,Arkansas,US,33.89723187,-92.18537045,"Cleveland, Arkansas, US",3092442,,607218,72784,28744,60272,7956,14.5,0,0,1377
5027,Columbia,Arkansas,US,33.21230701,-93.22642793,"Columbia, Arkansas, US",3092442,,813504,115704,18640,53760,23457,32.1,0,0,3336
5029,Conway,Arkansas,US,35.26205537,-92.70506566,"Conway, Arkansas, US",3092442,,35352,4680,168,1672,20846,38.5,0,0,3109
5031,Craighead,Arkansas,US,35.83018283,-90.63235729,"Craighead, Arkansas, US",3092442,,175364,34552,3048,11586,110332,136.4,0,0,21125
5033,Crawford,Arkansas,US,35.58928601,-94.2446814,"Crawford, Arkansas, US",3092442,,636650,20408,6828,32878,63257,104.4,0,0,10506
5035,Crittenden,Arkansas,US,35.21247318,-90.30839406,"Crittenden, Arkansas, US",3092442,,58312,48520,576,2876,47955,83.5,0,0,8636
5037,Cross,Arkansas,US,35.29631396,-90.77185818,"Cross, Arkansas, US",3092442,,24294,7244,276,656,16419,29,0,0,2887
5039,Dallas,Arkansas,US,33.97042763,-92.65167437,"Dallas, Arkansas, US",3092442,,3737776,1210540,362000,2162240,7009,12.2,0,0,1124
5041,Desha,Arkansas,US,33.83011025,-91.25500948,"Desha, Arkansas, US",3092442,,11214,9956,188,1462,11361,16.9,0,0,1861
5043,Drew,Arkansas,US,33.59035001,-91.71777921,"Drew, Arkansas, US",3092442,,25258,9632,232,1368,18219,22.3,0,0,2828
5045,Faulkner,Arkansas,US,35.14719007,-92.33717519,"Faulkner, Arkansas, US",3092442,,210656,28896,2940,10554,126007,174.8,0,0,19215
5047,Franklin,Arkansas,US,35.51202821,-93.89299569,"Franklin, Arkansas, US",3092442,,3546890,716384,166704,339776,17715,29.8,0,0,2689
5049,Fulton,Arkansas,US,36.38177105,-91.81729127,"Fulton, Arkansas, US",3092442,,1314278,875628,165608,170094,12477,19.8,0,0,1667
5051,Garland,Arkansas,US,34.57692074,-93.14921604,"Garland, Arkansas, US",3092442,,172872,17016,1360,11800,99386,141.7,0,0,15754
5053,Grant,Arkansas,US,34.29017991,-92.42320562,"Grant, Arkansas, US",3092442,,616924,19720,5276,129294,18265,28.3,0,0,2846
5055,Greene,Arkansas,US,36.1173546,-90.55832668,"Greene, Arkansas, US",3092442,,1402092,120188,25848,61014,45325,72.9,0,0,9860
5057,Hempstead,Arkansas,US,33.73325583,-93.66935133,"Hempstead, Arkansas, US",3092442,,28312,11988,172,5728,21532,31.1,0,0,2879
5059,Hot Spring,Arkansas,US,34.31709259,-92.95396325,"Hot Spring, Arkansas, US",3092442,,,,,,33771,53.5,0,0,7462
5061,Howard,Arkansas,US,34.09007427,-93.9934871,"Howard, Arkansas, US",3092442,,642040,149808,126508,89854,13202,23.4,0,0,2362
5063,Independence,Arkansas,US,35.74242707,-91.57001641,"Independence, Arkansas, US",3092442,,70956,1980,620,5028,37825,48,0,0,6157
5065,Izard,Arkansas,US,36.09604046,-91.90847954,"Izard, Arkansas, US",3092442,,25904,1016,80,692,13629,23.6,0,0,2436
5067,Jackson,Arkansas,US,35.59802983,-91.21494602,"Jackson, Arkansas, US",3092442,,2796406,482192,55092,288360,16719,28.4,0,0,4091
5069,Jefferson,Arkansas,US,34.26767081,-91.92619839,"Jefferson, Arkansas, US",3092442,,4842754,1200416,145308,523910,66824,88.9,0,0,12248
5071,Johnson,Arkansas,US,35.56759135,-93.46036368,"Johnson, Arkansas, US",3092442,,2186590,130136,103040,221392,26578,38.7,0,0,4513
5073,Lafayette,Arkansas,US,33.24116713,-93.60677071,"Lafayette, Arkansas, US",3092442,,194646,32984,3028,9100,6624,14.5,0,0,830
5075,Lawrence,Arkansas,US,36.04188196,-91.10867198,"Lawrence, Arkansas, US",3092442,,723180,34748,3764,19882,16406,29.6,0,0,3207
5077,Lee,Arkansas,US,34.78498904,-90.78383866,"Lee, Arkansas, US",3092442,,2053788,341436,44260,407776,8857,17.3,0,0,2066
5079,Lincoln,Arkansas,US,33.95317155,-91.74002806,"Lincoln, Arkansas, US",3092442,,1122254,63520,7848,69070,13024,25.2,0,0,3625
5081,Little River,Arkansas,US,33.70375665,-94.23468591,"Little River, Arkansas, US",3092442,,,,,,12259,24.7,0,0,1973
5083,Logan,Arkansas,US,35.21413234,-93.71951016,"Logan, Arkansas, US",3092442,,419104,24776,3496,22142,21466,31.6,0,0,3540
5085,Lonoke,Arkansas,US,34.75392199,-91.88742357,"Lonoke, Arkansas, US",3092442,,131638,9012,956,6700,73309,88.7,0,0,11729
5087,Madison,Arkansas,US,36.01038185,-93.72524943,"Madison, Arkansas, US",3092442,,2229970,439808,41296,128772,16576,18.8,0,0,2438
5089,Marion,Arkansas,US,36.26844485,-92.68451899,"Marion, Arkansas, US",3092442,,3132442,711532,106464,522504,16694,27.9,0,0,2106
5091,Miller,Arkansas,US,33.31403423,-93.89285258,"Miller, Arkansas, US",3092442,,118764,23972,752,4528,43257,69.5,0,0,6306
5093,Mississippi,Arkansas,US,35.76271485,-90.0519437,"Mississippi, Arkansas, US",3092442,,69514,35128,464,4228,40651,51.6,0,0,8134
5095,Monroe,Arkansas,US,34.6815935,-91.20540287,"Monroe, Arkansas, US",3092442,,2541098,368428,89336,268478,6701,13.4,0,0,1177
5097,Montgomery,Arkansas,US,34.53704874,-93.65824478,"Montgomery, Arkansas, US",3092442,,5497440,1217584,538148,956522,8986,12.2,0,0,1107
5099,Nevada,Arkansas,US,33.66340119,-93.30632432,"Nevada, Arkansas, US",3092442,,197068,6384,2576,20242,8252,14.6,0,0,1326
5101,Newton,Arkansas,US,35.91947491,-93.21612969,"Newton, Arkansas, US",3092442,,301666,116280,4632,24204,7753,10.1,0,0,1157
5103,Ouachita,Arkansas,US,33.58839816,-92.87795984,"Ouachita, Arkansas, US",3092442,,26442,16808,248,1196,23382,35.6,0,0,3372
5105,Perry,Arkansas,US,34.9459153,-92.94372564,"Perry, Arkansas, US",3092442,,378504,28456,2124,7898,10455,18.9,0,0,1486
5107,Phillips,Arkansas,US,34.43268455,-90.84800154,"Phillips, Arkansas, US",3092442,,37650,20128,296,3060,17782,31.3,0,0,3152
5109,Pike,Arkansas,US,34.16250414,-93.65789349,"Pike, Arkansas, US",3092442,,479230,81432,4552,21372,10718,18.8,0,0,1669
5111,Poinsett,Arkansas,US,35.57433534,-90.66268713,"Poinsett, Arkansas, US",3092442,,41932,3732,152,1564,23528,32.4,0,0,4824
5113,Polk,Arkansas,US,34.48254879,-94.22728802,"Polk, Arkansas, US",3092442,,2609214,331064,81580,508170,19964,24.1,0,0,2931
5115,Pope,Arkansas,US,35.44871474,-93.03212219,"Pope, Arkansas, US",3092442,,147520,5292,1508,12894,64072,76,0,0,11772
5117,Prairie,Arkansas,US,34.83624419,-91.55162157,"Prairie, Arkansas, US",3092442,,15966,1804,24,424,8062,13.4,0,0,1273
5119,Pulaski,Arkansas,US,34.77054088,-92.31355101,"Pulaski, Arkansas, US",3092442,,763488,301452,21052,67786,391911,503.8,0,0,57917
5121,Randolph,Arkansas,US,36.3415714,-91.02455531,"Randolph, Arkansas, US",3092442,,532796,52568,5228,42608,17958,27.6,0,0,3225
5125,Saline,Arkansas,US,34.64916145,-92.67583224,"Saline, Arkansas, US",3092442,,423150,29480,6764,38724,122437,148,0,0,18265
5127,Scott,Arkansas,US,34.85588887,-94.0632176,"Scott, Arkansas, US",3092442,,918286,79616,31624,59094,10281,12.6,0,0,1685
5129,Searcy,Arkansas,US,35.9109364,-92.69936482,"Searcy, Arkansas, US",3092442,,14974,92,52,448,7881,12.3,0,0,1235
5131,Sebastian,Arkansas,US,35.19605503,-94.27162713,"Sebastian, Arkansas, US",3092442,,209186,17860,11504,37726,127827,236.4,0,0,21866
5133,Sevier,Arkansas,US,33.99780401,-94.2424869,"Sevier, Arkansas, US",3092442,,258020,4884,2564,26712,17007,30.2,0,0,3757
5135,Sharp,Arkansas,US,36.16258158,-91.47819342,"Sharp, Arkansas, US",3092442,,33160,348,288,900,17442,28.6,0,0,2769
5123,St. Francis,Arkansas,US,35.02201976,-90.74828138,"St. Francis, Arkansas, US",3092442,,,,,,24994,44.5,0,0,4728
5137,Stone,Arkansas,US,35.86251946,-92.15684085,"Stone, Arkansas, US",3092442,,114472,7524,396,2772,12506,20.4,0,0,1660
5139,Union,Arkansas,US,33.16887091,-92.59746952,"Union, Arkansas, US",3092442,,1747020,386848,87792,449710,38682,40.1,0,0,5578
5141,Van Buren,Arkansas,US,35.58095779,-92.51295036,"Van Buren, Arkansas, US",3092442,,,,,,16545,24.4,0,0,2148
5143,Washington,Arkansas,US,35.976844,-94.21800746,"Washington, Arkansas, US",3092442,,4541160,306824,216460,449044,239187,215.6,0,0,43841
5145,White,Arkansas,US,35.25688493,-91.74908296,"White, Arkansas, US",3092442,,327986,10788,2208,15288,78753,74.5,0,0,12921
5147,Woodruff,Arkansas,US,35.18902527,-91.2439489,"Woodruff, Arkansas, US",3092442,,8944,3088,48,280,6320,12.4,0,0,1075
5149,Yell,Arkansas,US,35.00292371,-93.41171338,"Yell, Arkansas, US",3092442,,40060,988,552,8742,21341,23.9,0,0,4570
6001,Alameda,California,US,37.64629437,-121.8929271,"Alameda, California, US",51722146,,1647186,352668,1039964,746110,1671329,2043.6,617659,136309,119090
6003,Alpine,California,US,38.59678594,-119.8223594,"Alpine, California, US",51722146,,1534,0,44,278,1129,1.6,476,244,102
6005,Amador,California,US,38.44583082,-120.65696,"Amador, California, US",51722146,,71272,3820,1272,11506,39752,64.1,8153,13585,5296
6007,Butte,California,US,39.66727762,-121.6005252,"Butte, California, US",51722146,,400032,9416,21936,76524,219186,134.4,50426,48730,22900
6009,Calaveras,California,US,38.20537103,-120.552913,"Calaveras, California, US",51722146,,83504,1212,1560,11934,45905,44.7,10046,16518,3761
6011,Colusa,California,US,39.17881957,-122.2331726,"Colusa, California, US",51722146,,39260,656,608,26036,21547,18.6,3239,4559,2993
